file	order	reorder	algo_time	bdd_time	reorder_time	minterms	span	ecr	inputs	clauses	functions	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	maxnode	total
busybox-1.18.0.xml	malik_fanin	CUDD_REORDER_SIFT	0.1574590000	15.4627	0	2.06114e+201	305992	26.346604215456676	846.0	977.0	2.0	63.29787234042553	51.90464670411891	63.29787234042553	9100	51760
busybox-1.18.0_1.xml	malik_fanin	CUDD_REORDER_SIFT	0.1462200000	32.3453	0	3.16086e+201	293782	26.516052318668255	833.0	963.0	2.0	63.38535414165666	51.78092875435702	63.38535414165666	29037	108577
busybox-1.18.0.xml	malik_fanin	CUDD_REORDER_SIFT	0.1516710000	15.5656	0	2.06114e+201	305992	26.346604215456676	846.0	977.0	2.0	63.29787234042553	51.90464670411891	63.29787234042553	9100	51760
busybox-1.18.0_1.xml	malik_fanin	CUDD_REORDER_SIFT	0.1599580000	32.6318	0	3.16086e+201	293782	26.516052318668255	833.0	963.0	2.0	63.38535414165666	51.78092875435702	63.38535414165666	29037	108577
busybox-1.18.0.xml	malik_fanin	CUDD_REORDER_SIFT	0.1493680000	16.0537	0	2.06114e+201	305992	26.346604215456676	846.0	977.0	2.0	63.29787234042553	51.90464670411891	63.29787234042553	9100	51760
busybox-1.18.0_1.xml	malik_fanin	CUDD_REORDER_SIFT	0.1583210000	32.4707	0	3.16086e+201	293782	26.516052318668255	833.0	963.0	2.0	63.38535414165666	51.78092875435702	63.38535414165666	29037	108577
busybox-1.18.0.xml	malik_fanin	CUDD_REORDER_SIFT	0.1485060000	16.1636	0	2.06114e+201	305992	26.346604215456676	846.0	977.0	2.0	63.29787234042553	51.90464670411891	63.29787234042553	9100	51760
busybox-1.18.0_1.xml	malik_fanin	CUDD_REORDER_SIFT	0.1510160000	32.9466	0	3.16086e+201	293782	26.516052318668255	833.0	963.0	2.0	63.38535414165666	51.78092875435702	63.38535414165666	29037	108577
busybox-1.18.0.xml	malik_fanin	CUDD_REORDER_SIFT	0.1569120000	16.1598	0	2.06114e+201	305992	26.346604215456676	846.0	977.0	2.0	63.29787234042553	51.90464670411891	63.29787234042553	9100	51760
busybox-1.18.0_1.xml	malik_fanin	CUDD_REORDER_SIFT	0.1668490000	32.7091	0	3.16086e+201	293782	26.516052318668255	833.0	963.0	2.0	63.38535414165666	51.78092875435702	63.38535414165666	29037	108577
busybox-1.18.0.xml	malik_fanin	CUDD_REORDER_SIFT	0.1501980000	16.1409	0	2.06114e+201	305992	26.346604215456676	846.0	977.0	2.0	63.29787234042553	51.90464670411891	63.29787234042553	9100	51760
busybox-1.18.0_1.xml	malik_fanin	CUDD_REORDER_SIFT	0.1553490000	32.9516	0	3.16086e+201	293782	26.516052318668255	833.0	963.0	2.0	63.38535414165666	51.78092875435702	63.38535414165666	29037	108577
busybox-1.18.0.xml	malik_fanin	CUDD_REORDER_SIFT	0.1664330000	16.1274	0	2.06114e+201	305992	26.346604215456676	846.0	977.0	2.0	63.29787234042553	51.90464670411891	63.29787234042553	9100	51760
busybox-1.18.0_1.xml	malik_fanin	CUDD_REORDER_SIFT	0.1626170000	32.7806	0	3.16086e+201	293782	26.516052318668255	833.0	963.0	2.0	63.38535414165666	51.78092875435702	63.38535414165666	29037	108577
busybox-1.18.0.xml	malik_fanin	CUDD_REORDER_SIFT	0.1575710000	16.3797	0	2.06114e+201	305992	26.346604215456676	846.0	977.0	2.0	63.29787234042553	51.90464670411891	63.29787234042553	9100	51760
busybox-1.18.0_1.xml	malik_fanin	CUDD_REORDER_SIFT	0.1638780000	33.1512	0	3.16086e+201	293782	26.516052318668255	833.0	963.0	2.0	63.38535414165666	51.78092875435702	63.38535414165666	29037	108577
busybox-1.18.0.xml	malik_fanin	CUDD_REORDER_SIFT	0.1532290000	16.4537	0	2.06114e+201	305992	26.346604215456676	846.0	977.0	2.0	63.29787234042553	51.90464670411891	63.29787234042553	9100	51760
busybox-1.18.0_1.xml	malik_fanin	CUDD_REORDER_SIFT	0.1635770000	33.4505	0	3.16086e+201	293782	26.516052318668255	833.0	963.0	2.0	63.38535414165666	51.78092875435702	63.38535414165666	29037	108577
busybox-1.18.0.xml	malik_fanin	CUDD_REORDER_SIFT	0.1563400000	16.1075	0	2.06114e+201	305992	26.346604215456676	846.0	977.0	2.0	63.29787234042553	51.90464670411891	63.29787234042553	9100	51760
busybox-1.18.0_1.xml	malik_fanin	CUDD_REORDER_SIFT	0.1461220000	33.2146	0	3.16086e+201	293782	26.516052318668255	833.0	963.0	2.0	63.38535414165666	51.78092875435702	63.38535414165666	29037	108577
busybox-1.18.0.xml	malik_fanin	CUDD_REORDER_SIFT	0.1551200000	16.1084	0	2.06114e+201	305992	26.346604215456676	846.0	977.0	2.0	63.29787234042553	51.90464670411891	63.29787234042553	9100	51760
busybox-1.18.0_1.xml	malik_fanin	CUDD_REORDER_SIFT	0.1588410000	33.3824	0	3.16086e+201	293782	26.516052318668255	833.0	963.0	2.0	63.38535414165666	51.78092875435702	63.38535414165666	29037	108577
busybox-1.18.0.xml	malik_fanin	CUDD_REORDER_SIFT	0.1635720000	17.0448	0	2.06114e+201	305992	26.346604215456676	846.0	977.0	2.0	63.29787234042553	51.90464670411891	63.29787234042553	9100	51760
busybox-1.18.0_1.xml	malik_fanin	CUDD_REORDER_SIFT	0.1624450000	32.4297	0	3.16086e+201	293782	26.516052318668255	833.0	963.0	2.0	63.38535414165666	51.78092875435702	63.38535414165666	29037	108577
busybox-1.18.0.xml	malik_fanin	CUDD_REORDER_SIFT	0.1500730000	16.136	0	2.06114e+201	305992	26.346604215456676	846.0	977.0	2.0	63.29787234042553	51.90464670411891	63.29787234042553	9100	51760
busybox-1.18.0_1.xml	malik_fanin	CUDD_REORDER_SIFT	0.2161550000	32.4887	0	3.16086e+201	293782	26.516052318668255	833.0	963.0	2.0	63.38535414165666	51.78092875435702	63.38535414165666	29037	108577
busybox-1.18.0.xml	malik_fanin	CUDD_REORDER_SIFT	0.1589550000	15.836	0	2.06114e+201	305992	26.346604215456676	846.0	977.0	2.0	63.29787234042553	51.90464670411891	63.29787234042553	9100	51760
busybox-1.18.0_1.xml	malik_fanin	CUDD_REORDER_SIFT	0.1638610000	32.5257	0	3.16086e+201	293782	26.516052318668255	833.0	963.0	2.0	63.38535414165666	51.78092875435702	63.38535414165666	29037	108577
busybox-1.18.0.xml	malik_fanin	CUDD_REORDER_SIFT	0.1761280000	16.2585	0	2.06114e+201	305992	26.346604215456676	846.0	977.0	2.0	63.29787234042553	51.90464670411891	63.29787234042553	9100	51760
busybox-1.18.0_1.xml	malik_fanin	CUDD_REORDER_SIFT	0.1715950000	32.5436	0	3.16086e+201	293782	26.516052318668255	833.0	963.0	2.0	63.38535414165666	51.78092875435702	63.38535414165666	29037	108577
busybox-1.18.0.xml	malik_fanin	CUDD_REORDER_SIFT	0.1504170000	16.0705	0	2.06114e+201	305992	26.346604215456676	846.0	977.0	2.0	63.29787234042553	51.90464670411891	63.29787234042553	9100	51760
