file	order	reorder	algo_time	bdd_time	reorder_time	minterms	span	inputs	clauses	functions	mean (variables_in_clause)	standard deviation (variables_in_clause)	median (variables_in_clause)	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	mean (variable_in_clauses)	standard deviation (variable_in_clauses)	median (variable_in_clauses)	mean (variable_mean_level)	standard deviation (variable_mean_level)	median (variable_mean_level)	maxnode	total
../thesis/xml/ecos_kernel.xml	malik_fanin	NONE	0.0029411764705882353	0.00031372549019607844	0.0	9.40598e+14	1661.0	57.0	72.0	2.0	3.4600389863547694	0.29033122036100095	3.508771929824561	67.54385964912281	45.8999138664952	67.54385964912281	3.460038986354772	9.912129116086664	1.3888888888888888	4.982456140350878	0.13245323570650439	5	58.0	108.0
../thesis/xml/ecos_kernel.xml	FORCE	NONE	0.0	0.000392156862745098	0.0	9.40598e+14	857.0	57.0	72.0	2.0	3.4600389863547694	0.29033122036100095	3.508771929824561	67.54385964912281	45.8999138664952	67.54385964912281	3.460038986354772	9.912129116086664	1.3888888888888888	4.982456140350878	0.13245323570650439	5	58.0	113.0
../thesis/xml/ecos_kernel.xml	narodyska	NONE	0.014705882352941185	0.0006274509803921569	0.0	9.40598e+14	1716.0	57.0	72.0	2.0	3.4600389863547694	0.29033122036100095	3.508771929824561	67.54385964912281	45.8999138664952	67.54385964912281	3.460038986354772	9.912129116086664	1.3888888888888888	4.982456140350878	0.13245323570650439	5	57.0	107.0
../thesis/xml/ecos_kernel.xml	malik_level	NONE	0.0029411764705882353	0.0006274509803921569	0.0	9.40598e+14	1661.0	57.0	72.0	2.0	3.4600389863547694	0.29033122036100095	3.508771929824561	67.54385964912281	45.8999138664952	67.54385964912281	3.460038986354772	9.912129116086664	1.3888888888888888	4.982456140350878	0.13245323570650439	5	58.0	108.0
../thesis/xml/ecos_kernel.xml	fujii	NONE	0.000784313725490196	0.0	0.0	9.40598e+14	1714.0	57.0	72.0	2.0	3.4600389863547694	0.29033122036100095	3.508771929824561	67.54385964912281	45.8999138664952	67.54385964912281	3.460038986354772	9.912129116086664	1.3888888888888888	4.982456140350878	0.13245323570650439	5	59.0	110.0
../thesis/xml/ecos_kernel.xml	fujita	NONE	0.001568627450980392	0.00015686274509803922	0.0	9.40598e+14	1612.0	57.0	72.0	2.0	3.4600389863547694	0.29033122036100095	3.508771929824561	67.54385964912281	45.8999138664952	67.54385964912281	3.460038986354772	9.912129116086664	1.3888888888888888	4.982456140350878	0.13245323570650439	5	57.0	102.0
../thesis/xml/ecos_kernel.xml	mendonca	NONE	0.010126159490196079	0.00047058823529411766	0.0	9.40598e+14	1507.078431372549	57.0	72.0	2.0	3.4600389863547694	0.29033122036100095	3.508771929824561	67.54385964912281	45.8999138664952	67.54385964912281	3.460038986354772	9.912129116086664	1.3888888888888888	4.982456140350878	0.13245323570650439	5	57.0	80.6078431372549
../thesis/xml/ecos_kernel.xml	MINCE	NONE	0.002549019607843137	0.00023529411764705883	0.0	9.40598e+14	805.7647058823529	57.0	72.0	2.0	3.4600389863547694	0.29033122036100095	3.508771929824561	67.54385964912281	45.8999138664952	67.54385964912281	3.460038986354772	9.912129116086664	1.3888888888888888	4.982456140350878	0.13245323570650439	5	58.0	85.76470588235294
../thesis/xml/ecos_isoinfra.xml	malik_fanin	NONE	0.007843137254901964	0.001647058823529412	0.0	7.13624e+45	11787.0	155.0	157.0	2.0	1.2862132730634874	0.051489476417266124	1.2903225806451613	50.96774193548387	69.34208434861627	50.96774193548387	1.2862132730634954	7.827041146702044	0.6369426751592357	5.0	0.0	5	157.0	160.0
../thesis/xml/ecos_isoinfra.xml	FORCE	NONE	0.0	0.002039215686274511	0.0	7.13624e+45	6009.0	155.0	157.0	2.0	1.2862132730634874	0.051489476417266124	1.2903225806451613	50.96774193548387	69.34208434861627	50.96774193548387	1.2862132730634954	7.827041146702044	0.6369426751592357	5.0	0.0	5	157.0	160.0
../thesis/xml/ecos_isoinfra.xml	narodyska	NONE	0.04862745098039216	0.00219607843137255	0.0	7.13624e+45	11940.0	155.0	157.0	2.0	1.2862132730634874	0.051489476417266124	1.2903225806451613	50.96774193548387	69.34208434861627	50.96774193548387	1.2862132730634954	7.827041146702044	0.6369426751592357	5.0	0.0	5	157.0	160.0
../thesis/xml/ecos_isoinfra.xml	malik_level	NONE	0.014509803921568634	0.001803921568627452	0.0	7.13624e+45	11787.0	155.0	157.0	2.0	1.2862132730634874	0.051489476417266124	1.2903225806451613	50.96774193548387	69.34208434861627	50.96774193548387	1.2862132730634954	7.827041146702044	0.6369426751592357	5.0	0.0	5	157.0	160.0
../thesis/xml/ecos_isoinfra.xml	fujii	NONE	0.0029411764705882353	0.0018823529411764717	0.0	7.13624e+45	11787.0	155.0	157.0	2.0	1.2862132730634874	0.051489476417266124	1.2903225806451613	50.96774193548387	69.34208434861627	50.96774193548387	1.2862132730634954	7.827041146702044	0.6369426751592357	5.0	0.0	5	158.0	161.0
../thesis/xml/ecos_isoinfra.xml	fujita	NONE	0.007450980392156866	0.0012549019607843142	0.0	7.13624e+45	11938.0	155.0	157.0	2.0	1.2862132730634874	0.051489476417266124	1.2903225806451613	50.96774193548387	69.34208434861627	50.96774193548387	1.2862132730634954	7.827041146702044	0.6369426751592357	5.0	0.0	5	156.0	157.0
