file	order	reorder	algo_time	bdd_time	reorder_time	minterms	span	inputs	clauses	functions	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	total_posbile_symmetric	symmetric_percent	symmetric_continuos	maxnode	total
eCos_isoinfra	mendonca	CUDD_REORDER_SIFT	0.0167068850	0	0.048	7.13624e+45	11784	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	1.24843	157	160
eCos_isoinfra	mendonca	CUDD_REORDER_SYMM_SIFT	0.0167068850	0	0.036	7.13624e+45	11784	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	1.24843	157	160
eCos_isoinfra	mendonca	CUDD_REORDER_WINDOW2	0.0167068850	0.004	0.032	7.13624e+45	11784	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	1.24843	157	160
eCos_isoinfra	mendonca	CUDD_REORDER_WINDOW3	0.0167068850	0.004	0.028	7.13624e+45	11784	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	1.24843	157	160
eCos_isoinfra	mendonca	CUDD_REORDER_WINDOW4	0.0167068850	0	0.024	7.13624e+45	11784	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	1.24843	157	160
eCos_isoinfra	mendonca	CUDD_REORDER_ANNEALING	0.0167068850	0	3.752	7.13624e+45	11784	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	1.24843	157	160
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT		0	0.044	7.13624e+45	6009	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	1.24843	157	159
eCos_isoinfra	FORCE	CUDD_REORDER_SYMM_SIFT		0.004	0.032	7.13624e+45	6009	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	1.24843	158	159
eCos_isoinfra	FORCE	CUDD_REORDER_WINDOW2		0.008	0.02	7.13624e+45	6009	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	1.24843	157	160
eCos_isoinfra	FORCE	CUDD_REORDER_WINDOW3		0.004	0.024	7.13624e+45	6009	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	1.24843	158	159
eCos_isoinfra	FORCE	CUDD_REORDER_WINDOW4		0.004	0.048	7.13624e+45	6009	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	1.24843	158	159
