file	order	reorder	algo_time	bdd_time	reorder_time	minterms	span	inputs	clauses	functions	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	total_posbile_symmetric	symmetric_percent	symmetric_continuos	maxnode	total
eCos_isoinfra	MINCE	CUDD_REORDER_WINDOW3	0.0125	0.002	0.036	7.13624e+45	6008.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.22748	158.0	161.75
eCos_isoinfra	MINCE	CUDD_REORDER_WINDOW4	0.0125	0.001	0.034	7.13624e+45	6008.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.22748	158.0	161.75
eCos_isoinfra	MINCE	CUDD_REORDER_ANNEALING	0.0125	0.003	3.6670000000000003	7.13624e+45	6008.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.22748	157.0	160.25
eCos_isoinfra	mendonca	CUDD_REORDER_SIFT	0.01324390275	0.001	0.05500000000000001	7.13624e+45	11784.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.24843	157.0	160.0
eCos_isoinfra	mendonca	CUDD_REORDER_SYMM_SIFT	0.01324390275	0.002	0.032	7.13624e+45	11784.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.24843	157.0	160.0
eCos_isoinfra	mendonca	CUDD_REORDER_WINDOW2	0.01324390275	0.003	0.022000000000000002	7.13624e+45	11784.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.24843	157.0	160.0
eCos_isoinfra	mendonca	CUDD_REORDER_WINDOW3	0.01324390275	0.005	0.036000000000000004	7.13624e+45	11784.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.24843	157.0	160.0
eCos_isoinfra	mendonca	CUDD_REORDER_WINDOW4	0.01324390275	0.001	0.03	7.13624e+45	11784.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.24843	157.0	160.0
eCos_isoinfra	mendonca	CUDD_REORDER_ANNEALING	0.01324390275	0.001	4.0329999999999995	7.13624e+45	11784.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.24843	157.0	160.0
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT	0.0	0.003	0.059	7.13624e+45	6009.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.24843	157.0	159.0
eCos_isoinfra	FORCE	CUDD_REORDER_SYMM_SIFT	0.0	0.003	0.033	7.13624e+45	6009.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.24843	158.0	159.0
eCos_isoinfra	FORCE	CUDD_REORDER_WINDOW2	0.0	0.004	0.027999999999999997	7.13624e+45	6009.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.24843	157.0	160.0
eCos_isoinfra	FORCE	CUDD_REORDER_WINDOW3	0.0	0.003	0.024	7.13624e+45	6009.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.24843	158.0	159.0
eCos_isoinfra	FORCE	CUDD_REORDER_WINDOW4	0.0	0.004	0.044	7.13624e+45	6009.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.24843	158.0	159.0
eCos_isoinfra	FORCE	CUDD_REORDER_ANNEALING	0.0	0.003	3.725	7.13624e+45	6009.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.24843	157.0	159.0
eCos_isoinfra	fujita	CUDD_REORDER_SIFT	0.01	0.002	0.041999999999999996	7.13624e+45	11938.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.25681	157.0	158.0
eCos_isoinfra	fujita	CUDD_REORDER_SYMM_SIFT	0.01	0.002	0.028999999999999998	7.13624e+45	11938.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.25681	157.0	158.0
eCos_isoinfra	fujita	CUDD_REORDER_WINDOW2	0.01	0.001	0.028999999999999998	7.13624e+45	11938.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.25681	156.0	157.0
eCos_isoinfra	fujita	CUDD_REORDER_WINDOW3	0.01	0.003	0.026000000000000002	7.13624e+45	11938.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.25681	157.0	158.0
eCos_isoinfra	fujita	CUDD_REORDER_WINDOW4	0.01	0.002	0.025	7.13624e+45	11938.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.25681	157.0	158.0
eCos_isoinfra	fujita	CUDD_REORDER_ANNEALING	0.01	0.001	3.7600000000000002	7.13624e+45	11938.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.25681	157.0	158.0
eCos_isoinfra	netlist	CUDD_REORDER_SIFT	0.0	0.003	0.048	7.13624e+45	11787.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.23167	157.0	160.0
eCos_isoinfra	netlist	CUDD_REORDER_SYMM_SIFT	0.0	0.004	0.037	7.13624e+45	11787.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.23167	157.0	158.0
eCos_isoinfra	netlist	CUDD_REORDER_WINDOW2	0.0	0.001	0.024999999999999998	7.13624e+45	11787.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.23167	156.0	159.0
eCos_isoinfra	netlist	CUDD_REORDER_WINDOW3	0.0	0.003	0.031	7.13624e+45	11787.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.23167	157.0	160.0
eCos_isoinfra	netlist	CUDD_REORDER_WINDOW4	0.0	0.004	0.028999999999999998	7.13624e+45	11787.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.23167	157.0	160.0
eCos_isoinfra	netlist	CUDD_REORDER_ANNEALING	0.0	0.002	3.87	7.13624e+45	11787.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.23167	157.0	160.0
BankingSoftware	MINCE	CUDD_REORDER_SIFT	0.03	0.004	0.067	5.25823e+31	1749.5	176.0	196.0	2.0	51.42045454545455	68.70185203573843	51.42045454545455	15400.0	10.8831	0.85714275	211.5	220.5
BankingSoftware	MINCE	CUDD_REORDER_SYMM_SIFT	0.03	0.005	0.08499999999999999	5.25823e+31	1749.5	176.0	196.0	2.0	51.42045454545455	68.70185203573843	51.42045454545455	15400.0	10.8831	0.85714275	211.25	215.5
BankingSoftware	MINCE	CUDD_REORDER_WINDOW2	0.03	0.007	0.03	5.25823e+31	1749.5	176.0	196.0	2.0	51.42045454545455	68.70185203573843	51.42045454545455	15400.0	10.8831	0.85714275	217.25	222.25
BankingSoftware	MINCE	CUDD_REORDER_WINDOW3	0.03	0.004	0.037000000000000005	5.25823e+31	1749.5	176.0	196.0	2.0	51.42045454545455	68.70185203573843	51.42045454545455	15400.0	10.8831	0.85714275	216.25	221.25
BankingSoftware	MINCE	CUDD_REORDER_WINDOW4	0.03	0.006	0.038	5.25823e+31	1749.5	176.0	196.0	2.0	51.42045454545455	68.70185203573843	51.42045454545455	15400.0	10.8831	0.85714275	215.0	220.0
BankingSoftware	MINCE	CUDD_REORDER_ANNEALING	0.03	0.003	12.728	5.25823e+31	1749.5	176.0	196.0	2.0	51.42045454545455	68.70185203573843	51.42045454545455	15400.0	10.8831	0.85714275	227.75	232.5
BankingSoftware	mendonca	CUDD_REORDER_SIFT	0.0121491725	0.003	0.066	5.25823e+31	3011.0	176.0	196.0	2.0	51.42045454545455	68.70185203573843	51.42045454545455	15400.0	10.8831	0.792208	220.0	236.0
BankingSoftware	mendonca	CUDD_REORDER_SYMM_SIFT	0.0121491725	0.003	0.082	5.25823e+31	3011.0	176.0	196.0	2.0	51.42045454545455	68.70185203573843	51.42045454545455	15400.0	10.8831	0.792208	218.0	221.0
