file	order	reorder	algo_time	bdd_time	reorder_time	minterms	span	inputs	clauses	functions	mean (variables_in_clause)	standard deviation (variables_in_clause)	median (variables_in_clause)	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	mean (variable_in_clauses)	standard deviation (variable_in_clauses)	median (variable_in_clauses)	mean (variable_mean_level)	standard deviation (variable_mean_level)	median (variable_mean_level)	maxnode	total
../thesis/xml/ecos_kernel.xml	malik_fanin	NONE	0.0100000000	0	0	9.40598e+14	1661	57.0	72.0	2.0	3.4600389863547694	0.29033122036100095	3.508771929824561	67.54385964912281	45.8999138664952	67.54385964912281	3.460038986354772	9.912129116086664	1.3888888888888888	4.982456140350878	0.13245323570650439	5	58	108
../thesis/xml/ecos_kernel.xml	FORCE	NONE		0	0	9.40598e+14	857	57.0	72.0	2.0	3.4600389863547694	0.29033122036100095	3.508771929824561	67.54385964912281	45.8999138664952	67.54385964912281	3.460038986354772	9.912129116086664	1.3888888888888888	4.982456140350878	0.13245323570650439	5	58	113
../thesis/xml/ecos_kernel.xml	narodyska	NONE	0.0100000000	0.004	0	9.40598e+14	1716	57.0	72.0	2.0	3.4600389863547694	0.29033122036100095	3.508771929824561	67.54385964912281	45.8999138664952	67.54385964912281	3.460038986354772	9.912129116086664	1.3888888888888888	4.982456140350878	0.13245323570650439	5	57	107
../thesis/xml/ecos_kernel.xml	malik_level	NONE	0.0000000000	0	0	9.40598e+14	1661	57.0	72.0	2.0	3.4600389863547694	0.29033122036100095	3.508771929824561	67.54385964912281	45.8999138664952	67.54385964912281	3.460038986354772	9.912129116086664	1.3888888888888888	4.982456140350878	0.13245323570650439	5	58	108
../thesis/xml/ecos_kernel.xml	fujii	NONE	0.0000000000	0	0	9.40598e+14	1714	57.0	72.0	2.0	3.4600389863547694	0.29033122036100095	3.508771929824561	67.54385964912281	45.8999138664952	67.54385964912281	3.460038986354772	9.912129116086664	1.3888888888888888	4.982456140350878	0.13245323570650439	5	59	110
../thesis/xml/ecos_kernel.xml	fujita	NONE	0.0000000000	0.004	0	9.40598e+14	1612	57.0	72.0	2.0	3.4600389863547694	0.29033122036100095	3.508771929824561	67.54385964912281	45.8999138664952	67.54385964912281	3.460038986354772	9.912129116086664	1.3888888888888888	4.982456140350878	0.13245323570650439	5	57	102
../thesis/xml/ecos_kernel.xml	mendonca	NONE	0.0090174980	0	0	9.40598e+14	1507	57.0	72.0	2.0	3.4600389863547694	0.29033122036100095	3.508771929824561	67.54385964912281	45.8999138664952	67.54385964912281	3.460038986354772	9.912129116086664	1.3888888888888888	4.982456140350878	0.13245323570650439	5	57	79
../thesis/xml/ecos_kernel.xml	MINCE	NONE	0.0000000000	0	0	9.40598e+14	806	57.0	72.0	2.0	3.4600389863547694	0.29033122036100095	3.508771929824561	67.54385964912281	45.8999138664952	67.54385964912281	3.460038986354772	9.912129116086664	1.3888888888888888	4.982456140350878	0.13245323570650439	5	58	86
../thesis/xml/ecos_isoinfra.xml	malik_fanin	NONE	0.0100000000	0	0	7.13624e+45	11787	155.0	157.0	2.0	1.2862132730634874	0.051489476417266124	1.2903225806451613	50.96774193548387	69.34208434861627	50.96774193548387	1.2862132730634954	7.827041146702044	0.6369426751592357	5.0	0.0	5	157	160
../thesis/xml/ecos_isoinfra.xml	FORCE	NONE		0	0	7.13624e+45	6009	155.0	157.0	2.0	1.2862132730634874	0.051489476417266124	1.2903225806451613	50.96774193548387	69.34208434861627	50.96774193548387	1.2862132730634954	7.827041146702044	0.6369426751592357	5.0	0.0	5	157	160
../thesis/xml/ecos_isoinfra.xml	narodyska	NONE	0.0500000000	0	0	7.13624e+45	11940	155.0	157.0	2.0	1.2862132730634874	0.051489476417266124	1.2903225806451613	50.96774193548387	69.34208434861627	50.96774193548387	1.2862132730634954	7.827041146702044	0.6369426751592357	5.0	0.0	5	157	160
../thesis/xml/ecos_isoinfra.xml	malik_level	NONE	0.0100000000	0.004	0	7.13624e+45	11787	155.0	157.0	2.0	1.2862132730634874	0.051489476417266124	1.2903225806451613	50.96774193548387	69.34208434861627	50.96774193548387	1.2862132730634954	7.827041146702044	0.6369426751592357	5.0	0.0	5	157	160
../thesis/xml/ecos_isoinfra.xml	fujii	NONE	0.0000000000	0	0	7.13624e+45	11787	155.0	157.0	2.0	1.2862132730634874	0.051489476417266124	1.2903225806451613	50.96774193548387	69.34208434861627	50.96774193548387	1.2862132730634954	7.827041146702044	0.6369426751592357	5.0	0.0	5	158	161
../thesis/xml/ecos_isoinfra.xml	fujita	NONE	0.0100000000	0.004	0	7.13624e+45	11938	155.0	157.0	2.0	1.2862132730634874	0.051489476417266124	1.2903225806451613	50.96774193548387	69.34208434861627	50.96774193548387	1.2862132730634954	7.827041146702044	0.6369426751592357	5.0	0.0	5	156	157
../thesis/xml/ecos_isoinfra.xml	mendonca	NONE	0.0080760370	0	0	7.13624e+45	11784	155.0	157.0	2.0	1.2862132730634874	0.051489476417266124	1.2903225806451613	50.96774193548387	69.34208434861627	50.96774193548387	1.2862132730634954	7.827041146702044	0.6369426751592357	5.0	0.0	5	156	159
../thesis/xml/ecos_isoinfra.xml	MINCE	NONE	0.0200000000	0	0	7.13624e+45	6008	155.0	157.0	2.0	1.2862132730634874	0.051489476417266124	1.2903225806451613	50.96774193548387	69.34208434861627	50.96774193548387	1.2862132730634954	7.827041146702044	0.6369426751592357	5.0	0.0	5	158	162
../thesis/xml/ecos_compat.xml	malik_fanin	NONE	0.0000000000	0	0	7.88954e+06	174	28.0	32.0	2.0	6.919642857142854	0.8783381729249374	7.142857142857142	60.714285714285715	55.55838995037159	60.714285714285715	6.919642857142857	9.710700372247969	3.125	4.928571428571429	0.262265264156481	5.0	29	34
../thesis/xml/ecos_compat.xml	FORCE	NONE		0	0	7.88954e+06	103	28.0	32.0	2.0	6.919642857142854	0.8783381729249374	7.142857142857142	60.714285714285715	55.55838995037159	60.714285714285715	6.919642857142857	9.710700372247969	3.125	4.928571428571429	0.262265264156481	5.0	29	32
../thesis/xml/ecos_compat.xml	narodyska	NONE	0.0000000000	0	0	7.88954e+06	194	28.0	32.0	2.0	6.919642857142854	0.8783381729249374	7.142857142857142	60.714285714285715	55.55838995037159	60.714285714285715	6.919642857142857	9.710700372247969	3.125	4.928571428571429	0.262265264156481	5.0	27	33
../thesis/xml/ecos_compat.xml	malik_level	NONE	0.0100000000	0	0	7.88954e+06	207	28.0	32.0	2.0	6.919642857142854	0.8783381729249374	7.142857142857142	60.714285714285715	55.55838995037159	60.714285714285715	6.919642857142857	9.710700372247969	3.125	4.928571428571429	0.262265264156481	5.0	29	34
../thesis/xml/ecos_compat.xml	fujii	NONE	0.0000000000	0	0	7.88954e+06	165	28.0	32.0	2.0	6.919642857142854	0.8783381729249374	7.142857142857142	60.714285714285715	55.55838995037159	60.714285714285715	6.919642857142857	9.710700372247969	3.125	4.928571428571429	0.262265264156481	5.0	29	32
../thesis/xml/ecos_compat.xml	fujita	NONE	0.0000000000	0	0	7.88954e+06	208	28.0	32.0	2.0	6.919642857142854	0.8783381729249374	7.142857142857142	60.714285714285715	55.55838995037159	60.714285714285715	6.919642857142857	9.710700372247969	3.125	4.928571428571429	0.262265264156481	5.0	28	30
../thesis/xml/ecos_compat.xml	mendonca	NONE	0.0060984230	0	0	7.88954e+06	172	28.0	32.0	2.0	6.919642857142854	0.8783381729249374	7.142857142857142	60.714285714285715	55.55838995037159	60.714285714285715	6.919642857142857	9.710700372247969	3.125	4.928571428571429	0.262265264156481	5.0	27	32
../thesis/xml/ecos_compat.xml	MINCE	NONE	0.0000000000	0	0	7.88954e+06	101	28.0	32.0	2.0	6.919642857142854	0.8783381729249374	7.142857142857142	60.714285714285715	55.55838995037159	60.714285714285715	6.919642857142857	9.710700372247969	3.125	4.928571428571429	0.262265264156481	5.0	29	35
../thesis/xml/linux_fs.xml	malik_fanin	NONE	0.0600000000	0.328	0	3.27212e+82	58150	339.0	541.0	2.0	0.594877834666492	0.06068050115920058	0.5899705014749262	80.23598820058997	27.950533533627546	80.23598820058997	0.5948778346664888	3.0780715043465445	0.36968576709796674	5.165191740412979	0.3719024436917365	5	18957	19565
../thesis/xml/linux_fs.xml	FORCE	NONE		13.944	0	3.27212e+82	29616	339.0	541.0	2.0	0.594877834666492	0.06068050115920058	0.5899705014749262	80.23598820058997	27.950533533627546	80.23598820058997	0.5948778346664888	3.0780715043465445	0.36968576709796674	5.165191740412979	0.3719024436917365	5	341510	396879
../thesis/xml/linux_fs.xml	narodyska	NONE	0.4700000000	0.376	0	3.27212e+82	49748	339.0	541.0	2.0	0.594877834666492	0.06068050115920058	0.5899705014749262	80.23598820058997	27.950533533627546	80.23598820058997	0.5948778346664888	3.0780715043465445	0.36968576709796674	5.165191740412979	0.3719024436917365	5	25451	25935
../thesis/xml/linux_fs.xml	malik_level	NONE	0.1600000000	0.264	0	3.27212e+82	60894	339.0	541.0	2.0	0.594877834666492	0.06068050115920058	0.5899705014749262	80.23598820058997	27.950533533627546	80.23598820058997	0.5948778346664888	3.0780715043465445	0.36968576709796674	5.165191740412979	0.3719024436917365	5	18957	19570
../thesis/xml/linux_fs.xml	fujii	NONE	0.0200000000	0.02	0	3.27212e+82	53964	339.0	541.0	2.0	0.594877834666492	0.06068050115920058	0.5899705014749262	80.23598820058997	27.950533533627546	80.23598820058997	0.5948778346664888	3.0780715043465445	0.36968576709796674	5.165191740412979	0.3719024436917365	5	25347	32295
../thesis/xml/linux_fs.xml	fujita	NONE	0.1000000000	0.272	0	3.27212e+82	55126	339.0	541.0	2.0	0.594877834666492	0.06068050115920058	0.5899705014749262	80.23598820058997	27.950533533627546	80.23598820058997	0.5948778346664888	3.0780715043465445	0.36968576709796674	5.165191740412979	0.3719024436917365	5	19771	26013
../thesis/xml/linux_fs.xml	mendonca	NONE	0.1590517080	0.02	0	3.27212e+82	50336	339.0	541.0	2.0	0.594877834666492	0.06068050115920058	0.5899705014749262	80.23598820058997	27.950533533627546	80.23598820058997	0.5948778346664888	3.0780715043465445	0.36968576709796674	5.165191740412979	0.3719024436917365	5	2623	3200
../thesis/xml/linux_fs.xml	MINCE	NONE	0.0800000000	0.028	0	3.27212e+82	24547	339.0	541.0	2.0	0.594877834666492	0.06068050115920058	0.5899705014749262	80.23598820058997	27.950533533627546	80.23598820058997	0.5948778346664888	3.0780715043465445	0.36968576709796674	5.165191740412979	0.3719024436917365	5	1187	1868
../thesis/xml/REAL-FM-19.xml	malik_fanin	NONE	0.0000000000	0	0	240	226	30.0	41.0	2.0	6.991869918699186	1.2483050839661867	6.666666666666667	61.666666666666664	54.21151989096864	61.666666666666664	6.991869918699185	6.134733900779088	4.878048780487805	7.2	1.3746472901853017	7.0	41	64
../thesis/xml/REAL-FM-19.xml	FORCE	NONE		0	0	240	132	30.0	41.0	2.0	6.991869918699186	1.2483050839661867	6.666666666666667	61.666666666666664	54.21151989096864	61.666666666666664	6.991869918699185	6.134733900779088	4.878048780487805	7.2	1.3746472901853017	7.0	41	57
../thesis/xml/REAL-FM-19.xml	narodyska	NONE	0.0100000000	0	0	240	220	30.0	41.0	2.0	6.991869918699186	1.2483050839661867	6.666666666666667	61.666666666666664	54.21151989096864	61.666666666666664	6.991869918699185	6.134733900779088	4.878048780487805	7.2	1.3746472901853017	7.0	39	66
