file	order	reeorder	ecr	code	dead	size_f0	size_f1	f0_time	f1_time	dead_core_f0	dead_core_f1	total
eCos_language	FORCE		36.144578313253014	1	1	206	61	0.000334	9e-05	0.000285	0.000109	0.000577
eCos_net	FORCE		37.38317757009346	1	1	153	172	0.000345	0.000269	0.000207	0.000248	0.000588
eCos_redboot	FORCE		11.11111111111111	1	1	64	8	0.000276	2.3e-05	0.000112	3.5e-05	0.000451
eCos_services	FORCE		41.81818181818181	1	1	97	36	0.000178	5.6e-05	0.000151	7.3e-05	0.000343
LinuxKernel_arch	FORCE		26.01626016260163	1	0	16	78	0.000924	9.7e-05	4.6e-05	0.000141	0.001075
LinuxKernel_block	FORCE		42.62295081967213	1	0	49	44	0.000156	6.6e-05	9.2e-05	7.9e-05	0.000383
LinuxKernel_crypto	FORCE		86.19402985074626	1	0	7	14815	0.004232	0.076594	3.9e-05	0.021345	0.101412
LinuxKernel_fs	FORCE		59.59302325581395	1	0	425	341510	0.005533	4.84625	0.000543	0.573182	5.50432
LinuxKernel_lib	FORCE		27.86885245901639	1	0	129	66	0.000743	9.2e-05	0.00017	0.000119	0.001079
LinuxKernel_mm	FORCE		37.5	1	0	9	61	0.000304	6.7e-05	3.7e-05	0.000108	0.00042
LinuxKernel_security	FORCE		59.210526315789465	1	0	97	420	0.000318	0.000505	0.000156	0.000582	0.001166
BankingSoftware	FORCE		2.604166666666667	17	0	238	6	0.001642	1.9e-05	0.000308	3.1e-05	0.002036
HIS	FORCE		10.95890410958904	37	0	103	23	0.000454	2e-05	0.000148	5.5e-05	0.000597
Documentation_Generation	FORCE		24.528301886792452	8	0	63	91	0.000206	3.2e-05	0.00011	0.000135	0.000411
Graph	FORCE		21.21212121212121	11	0	41	16	0.00012	2.6e-05	7e-05	4.4e-05	0.000229
Web_Portal	FORCE		22.448979591836736	4	0	109	22	0.000204	2.3e-05	0.000164	5.2e-05	0.000337
Electronic Shopping	FORCE		10.303030303030303	30	0	2193	805	0.011758	0.000179	0.002672	0.00111	0.014776
Dell_XML	FORCE		88.54961832061069	1	0	2703	43396	0.003001	6.511	0.003528	0.053885	6.63739
eCos_compat	FORCE		21.428571428571427	1	1	29	7	6.5e-05	1.9e-05	6.3e-05	3.2e-05	0.000139
eCos_fs	FORCE		4.3478260869565215	1	1	26	2	6.1e-05	1e-05	5.7e-05	2.5e-05	0.000128
eCos_infra	FORCE		18.51851851851852	1	1	28	7	6.8e-05	1.8e-05	6.1e-05	3.3e-05	0.000167
eCos_io	FORCE		29.230769230769234	1	1	266	68	0.000839	0.000101	0.000364	0.000116	0.001204
eCos_isoinfra	FORCE		1.935483870967742	1	0	157	4	0.001577	1.7e-05	0.000232	2.9e-05	0.002112
