file	order	reeorder	ecr	code	dead	size_f0	size_f1	f0_time	f1_time	dead_core_f0	dead_core_f1	total
eCos_compat	FORCE	CUDD_REORDER_SIFT	21.428571428571427	1	1	29	7	6.7e-05	2e-05	6.2e-05	3.4e-05	0.000129
eCos_fs	FORCE	CUDD_REORDER_SIFT	4.3478260869565215	1	1	26	2	6.3e-05	1e-05	5.6e-05	2.5e-05	0.000119
eCos_infra	FORCE	CUDD_REORDER_SIFT	18.51851851851852	1	1	28	7	7.2e-05	1.8e-05	6e-05	3.2e-05	6.2e-05
eCos_io	FORCE	CUDD_REORDER_SIFT	29.230769230769234	1	1	266	68	0.000814	0.000102	0.000362	0.000117	0.001263
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT	1.935483870967742	1	0	156	4	0.028911	1.5e-05	0.000294	2.7e-05	0.029523
eCos_kernel	FORCE	CUDD_REORDER_SIFT	35.08771929824561	1	1	58	58	0.000197	5.9e-05	0.000104	0.000108	0.000328
eCos_language	FORCE	CUDD_REORDER_SIFT	36.144578313253014	1	1	206	61	0.000335	8.4e-05	0.000286	0.000109	0.000586
eCos_net	FORCE	CUDD_REORDER_SIFT	37.38317757009346	1	1	153	172	0.000333	0.00027	0.000201	0.000248	0.000453
eCos_redboot	FORCE	CUDD_REORDER_SIFT	11.11111111111111	1	1	64	8	0.000259	2e-05	0.000109	3.4e-05	0.000408
eCos_services	FORCE	CUDD_REORDER_SIFT	41.81818181818181	1	1	97	36	0.000174	5.4e-05	0.00015	7.5e-05	0.000344
LinuxKernel_arch	FORCE	CUDD_REORDER_SIFT	26.01626016260163	1	0	16	78	0.000878	0.0001	4.6e-05	0.00013	0.001147
LinuxKernel_block	FORCE	CUDD_REORDER_SIFT	42.62295081967213	1	0	49	44	0.000158	6.6e-05	8.9e-05	7.9e-05	0.000266
LinuxKernel_crypto	FORCE	CUDD_REORDER_SIFT	86.19402985074626	1	0	7	3484	0.004309	0.484294	3.8e-05	0.004528	0.493073
LinuxKernel_fs	FORCE	CUDD_REORDER_SIFT	59.59302325581395	1	0	400	2673	0.847928	0.166475	0.000556	0.003367	0.845742
LinuxKernel_lib	FORCE	CUDD_REORDER_SIFT	27.86885245901639	1	0	129	66	0.054002	9.5e-05	0.000231	0.000116	0.054469
LinuxKernel_mm	FORCE	CUDD_REORDER_SIFT	37.5	1	0	9	61	0.000309	6.6e-05	3.7e-05	0.000108	0.000382
LinuxKernel_security	FORCE	CUDD_REORDER_SIFT	59.210526315789465	1	0	97	420	0.000318	0.000491	0.000153	0.000579	0.001071
HIS	FORCE	CUDD_REORDER_SIFT	10.95890410958904	37	0	103	23	0.00045	1.9e-05	0.000143	5.3e-05	0.000466
Documentation_Generation	FORCE	CUDD_REORDER_SIFT	24.528301886792452	8	0	63	91	0.000201	3.2e-05	0.000108	0.000135	0.000318
Graph	FORCE	CUDD_REORDER_SIFT	21.21212121212121	11	0	41	16	0.000122	2.4e-05	7e-05	4.5e-05	9.6e-05
Web_Portal	FORCE	CUDD_REORDER_SIFT	22.448979591836736	4	0	109	22	0.000203	2.3e-05	0.000165	5.6e-05	0.000414
Electronic Shopping	FORCE	CUDD_REORDER_SIFT	10.303030303030303	30	0	997	805	0.134726	0.000179	0.001229	0.001099	0.135753
Dell_XML	FORCE	CUDD_REORDER_SIFT	88.54961832061069	1	0	3154	15202	0.012106	2.814	0.004076	0.0202	2.84357
eCos_compat	FORCE	CUDD_REORDER_SIFT	21.428571428571427	1	1	29	7	6.5e-05	1.9e-05	6.3e-05	3.4e-05	0.000135
eCos_fs	FORCE	CUDD_REORDER_SIFT	4.3478260869565215	1	1	26	2	5.9e-05	9e-06	5.8e-05	2.5e-05	0.000124
eCos_infra	FORCE	CUDD_REORDER_SIFT	18.51851851851852	1	1	28	7	7e-05	1.9e-05	6.2e-05	3.3e-05	6.4e-05
eCos_io	FORCE	CUDD_REORDER_SIFT	29.230769230769234	1	1	266	68	0.000808	0.000102	0.000362	0.000116	0.001221
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT	1.935483870967742	1	0	156	4	0.028929	1.5e-05	0.000289	2.8e-05	0.029255
eCos_kernel	FORCE	CUDD_REORDER_SIFT	35.08771929824561	1	1	58	58	0.000198	5.7e-05	0.000102	0.00011	0.000324
eCos_language	FORCE	CUDD_REORDER_SIFT	36.144578313253014	1	1	206	61	0.000333	8.3e-05	0.000287	0.000109	0.000781
eCos_net	FORCE	CUDD_REORDER_SIFT	37.38317757009346	1	1	153	172	0.000335	0.00027	0.000206	0.000247	0.000566
eCos_redboot	FORCE	CUDD_REORDER_SIFT	11.11111111111111	1	1	64	8	0.000259	1.9e-05	0.000112	3.4e-05	0.000414
eCos_services	FORCE	CUDD_REORDER_SIFT	41.81818181818181	1	1	97	36	0.000178	5.3e-05	0.000149	7.4e-05	0.000343
LinuxKernel_arch	FORCE	CUDD_REORDER_SIFT	26.01626016260163	1	0	16	78	0.000881	9.7e-05	4.6e-05	0.000128	0.001146
LinuxKernel_block	FORCE	CUDD_REORDER_SIFT	42.62295081967213	1	0	49	44	0.000157	6.8e-05	8.9e-05	7.8e-05	0.000291
LinuxKernel_crypto	FORCE	CUDD_REORDER_SIFT	86.19402985074626	1	0	7	3484	0.004228	0.484994	3.6e-05	0.004528	0.492501
LinuxKernel_fs	FORCE	CUDD_REORDER_SIFT	59.59302325581395	1	0	400	2673	0.852727	0.166819	0.000558	0.003386	0.853818
LinuxKernel_lib	FORCE	CUDD_REORDER_SIFT	27.86885245901639	1	0	129	66	0.054917	9.3e-05	0.000231	0.000117	0.055422
LinuxKernel_mm	FORCE	CUDD_REORDER_SIFT	37.5	1	0	9	61	0.000308	6.8e-05	3.7e-05	0.000108	0.000394
LinuxKernel_security	FORCE	CUDD_REORDER_SIFT	59.210526315789465	1	0	97	420	0.000315	0.000492	0.000154	0.000577	0.001167
BankingSoftware	FORCE	CUDD_REORDER_SIFT	2.604166666666667	17	0	238	6	0.001597	1.9e-05	0.000309	3e-05	0.002059
HIS	FORCE	CUDD_REORDER_SIFT	10.95890410958904	37	0	103	23	0.000437	1.9e-05	0.000145	5.3e-05	0.000472
Documentation_Generation	FORCE	CUDD_REORDER_SIFT	24.528301886792452	8	0	63	91	0.000203	3.3e-05	0.000112	0.000136	0.000345
Graph	FORCE	CUDD_REORDER_SIFT	21.21212121212121	11	0	41	16	0.00012	2.4e-05	7.1e-05	4.6e-05	0.000204
Web_Portal	FORCE	CUDD_REORDER_SIFT	22.448979591836736	4	0	109	22	0.000202	2.3e-05	0.000163	5.5e-05	0.000421
Electronic Shopping	FORCE	CUDD_REORDER_SIFT	10.303030303030303	30	0	997	805	0.1348	0.000177	0.001222	0.0011	0.137201
Dell_XML	FORCE	CUDD_REORDER_SIFT	88.54961832061069	1	0	3154	15202	0.012486	2.84312	0.004163	0.019812	2.8761
eCos_compat	FORCE	CUDD_REORDER_SIFT	21.428571428571427	1	1	29	7	6.7e-05	2e-05	6.1e-05	3.2e-05	0.000183
eCos_fs	FORCE	CUDD_REORDER_SIFT	4.3478260869565215	1	1	26	2	6.2e-05	1e-05	6.6e-05	2.6e-05	0.000125
eCos_infra	FORCE	CUDD_REORDER_SIFT	18.51851851851852	1	1	28	7	7.2e-05	1.8e-05	6.1e-05	3.1e-05	6.7e-05
eCos_io	FORCE	CUDD_REORDER_SIFT	29.230769230769234	1	1	266	68	0.000816	0.000104	0.000363	0.000116	0.001252
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT	1.935483870967742	1	0	156	4	0.029269	1.5e-05	0.000293	2.9e-05	0.029798
eCos_kernel	FORCE	CUDD_REORDER_SIFT	35.08771929824561	1	1	58	58	0.000198	5.8e-05	0.000104	0.00011	0.000325
eCos_language	FORCE	CUDD_REORDER_SIFT	36.144578313253014	1	1	206	61	0.000349	8.5e-05	0.000282	0.000109	0.000655
