file	order	reorder	ecr	core	dead	size_f0	size_f1	f0_time	f1_time	dead_core	total
LinuxKernel_crypto	FORCE		86.19402985074626	1	0	7	14815	0.004242	0.079152	0.512859	0.601224
LinuxKernel_fs	FORCE		59.59302325581395	1	0	425	341510	0.00536	4.94209	17.2541	22.287
LinuxKernel_lib	FORCE		27.86885245901639	1	0	129	66	0.000737	9e-05	0.006113	0.006933
LinuxKernel_mm	FORCE		37.5	1	0	9	61	0.000303	6.4e-05	0.002557	0.002997
LinuxKernel_security	FORCE		59.210526315789465	1	0	97	420	0.000391	0.000603	0.023408	0.024164
BankingSoftware	FORCE		2.604166666666667	17	0	238	6	0.001614	1.8e-05	0.007543	0.009307
HIS	FORCE		10.95890410958904	37	0	103	23	0.00047	2e-05	0.004952	0.005528
Documentation_Generation	FORCE		24.528301886792452	8	0	63	91	0.000203	3.4e-05	0.017323	0.017617
Graph	FORCE		21.21212121212121	11	0	41	16	0.000123	2.6e-05	0.001752	0.001836
Web_Portal	FORCE		22.448979591836736	4	0	109	22	0.000201	2.4e-05	0.006838	0.007146
Electronic Shopping	FORCE		10.303030303030303	30	0	2193	805	0.011541	0.000182	1.19176	1.20354
Dell_XML	FORCE		88.54961832061069	1	0	2703	43396	0.002919	6.5818	0.621956	7.27689
eCos_compat	FORCE		21.428571428571427	1	1	29	7	6.5e-05	1.8e-05	0.001049	0.00131
eCos_fs	FORCE		4.3478260869565215	1	1	26	2	5.8e-05	9e-06	0.000875	0.000959
eCos_infra	FORCE		18.51851851851852	1	1	28	7	7.2e-05	2e-05	0.001132	0.001214
eCos_io	FORCE		29.230769230769234	1	1	266	68	0.000809	9.8e-05	0.01546	0.016444
eCos_isoinfra	FORCE		1.935483870967742	1	0	157	4	0.001567	1.5e-05	0.004941	0.007131
eCos_kernel	FORCE		35.08771929824561	1	1	58	58	0.000195	5.7e-05	0.004032	0.004367
eCos_language	FORCE		36.144578313253014	1	1	206	61	0.000335	8.3e-05	0.010598	0.010991
eCos_net	FORCE		37.38317757009346	1	1	153	172	0.000334	0.000267	0.011073	0.01151
eCos_redboot	FORCE		11.11111111111111	1	1	64	8	0.000257	2e-05	0.002253	0.002633
