file	order	reorder	ecr	core	dead	size_f0	size_f1	f0_time	f1_time	dead_core	total
Dell_XML	FORCE		88.54961832061069	1	0	2703	43396	0.002921	6.50604	0.604546	7.1776
eCos_compat	FORCE		21.428571428571427	1	1	29	7	6.3e-05	1.9e-05	0.001045	0.001217
eCos_fs	FORCE		4.3478260869565215	1	1	26	2	5.8e-05	9e-06	0.000894	0.001054
eCos_infra	FORCE		18.51851851851852	1	1	28	7	7e-05	2e-05	0.001119	0.001202
eCos_io	FORCE		29.230769230769234	1	1	266	68	0.000797	9.9e-05	0.015385	0.016283
eCos_isoinfra	FORCE		1.935483870967742	1	0	157	4	0.001753	1.5e-05	0.004846	0.006859
eCos_kernel	FORCE		35.08771929824561	1	1	58	58	0.000195	5.7e-05	0.003837	0.004323
eCos_language	FORCE		36.144578313253014	1	1	206	61	0.000333	8.3e-05	0.010573	0.010799
eCos_net	FORCE		37.38317757009346	1	1	153	172	0.000345	0.000267	0.011113	0.011731
eCos_redboot	FORCE		11.11111111111111	1	1	64	8	0.000256	2.1e-05	0.002264	0.002676
eCos_services	FORCE		41.81818181818181	1	1	97	36	0.000173	5.4e-05	0.004543	0.004848
LinuxKernel_arch	FORCE		26.01626016260163	1	0	16	78	0.000885	0.000104	0.003222	0.004288
LinuxKernel_block	FORCE		42.62295081967213	1	0	49	44	0.000158	7e-05	0.002854	0.003265
LinuxKernel_crypto	FORCE		86.19402985074626	1	0	7	14815	0.004264	0.080325	0.516347	0.601901
