file	order	reorder	algo_time	bdd_time	reorder_time	and_time	reach_one	reach_one_total	reach_one_decomposed	sum_nodes	minterms	span	ecr	inputs	clauses	functions	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	maxnode	total
HIS	FORCE	CUDD_REORDER_SIFT		0.003154	0	0.000349	0.000348	0.000697	0.000795	126	6400	305	10.95890410958904	67.0	77.0	2.0	55.97014925373134	62.267612074636276	55.97014925373134	103	155
Documentation_Generation	FORCE	CUDD_REORDER_SIFT		0.002381	0	0.001232	0.001232	0.002464	0.002479	154	5.56816e+07	350	24.528301886792452	44.0	61.0	2.0	64.77272727272728	49.81888685632494	64.77272727272728	91	531
Graph	FORCE	CUDD_REORDER_SIFT		0.0015	0	0.000161	0.000161	0.000322	0.000286	57	240	132	21.21212121212121	30.0	41.0	2.0	61.666666666666664	54.21151989096864	61.666666666666664	41	57
Thread	FORCE	CUDD_REORDER_SIFT		0.002768	0	0.000302	0.000301	0.000603	0.001594	131	80658	149	0.0	44.0	51.0	1.0	100.0		100.0	131	131
Web_Portal	FORCE	CUDD_REORDER_SIFT		0.002216	0	0.000517	0.000516	0.001033	0.001166	131	2.1208e+06	215	22.448979591836736	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	109	217
Electronic Shopping	FORCE	CUDD_REORDER_SIFT		0.4242	0	0.053349	0.053348	0.106697	0.171435	2011	4.52041e+49	3781	10.303030303030303	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	1491	24345
Dell_XML	FORCE	CUDD_REORDER_SIFT		2.4833	0	0.016262	0.016262	0.032524	0.124082	17690	1.12867e+06	58987	88.54961832061069	118.0	1778.0	2.0	99.15254237288136	1.1984860698077069	99.15254237288136	16601	8330
eCos_compat	FORCE	CUDD_REORDER_SIFT		0.00085	0	0.000138	0.000138	0.000276	0.000199	36	7.88954e+06	103	21.428571428571427	28.0	32.0	2.0	60.714285714285715	55.55838995037159	60.714285714285715	29	32
eCos_fs	FORCE	CUDD_REORDER_SIFT		0.000679	0	0.000114	0.000114	0.000228	0.000134	28	49725	61	4.3478260869565215	22.0	24.0	2.0	52.27272727272727	67.49655638598863	52.27272727272727	26	27
eCos_infra	FORCE	CUDD_REORDER_SIFT		0.000979	0	0.000163	0.000162	0.000325	0.000189	35	9.43718e+06	177	18.51851851851852	27.0	31.0	2.0	59.25925925925926	57.61610809668165	59.25925925925926	28	34
eCos_io	FORCE	CUDD_REORDER_SIFT		0.005677	0	0.000803	0.000802	0.001605	0.002914	334	1.85602e+32	991	29.230769230769234	130.0	156.0	2.0	64.61538461538461	50.04140297627875	64.61538461538461	266	311
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT		0.033612	0	0.000527	0.000526	0.001053	0.000731	160	7.13624e+45	6009	1.935483870967742	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	156	156
eCos_kernel	FORCE	CUDD_REORDER_SIFT		0.003047	0	0.000318	0.000317	0.000635	0.000664	116	9.40598e+14	857	35.08771929824561	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	58	113
eCos_language	FORCE	CUDD_REORDER_SIFT		0.003778	0	0.000604	0.000603	0.001207	0.001861	267	3.41562e+19	629	36.144578313253014	82.0	107.0	2.0	68.29268292682927	44.84091783134204	68.29268292682927	206	262
eCos_net	FORCE	CUDD_REORDER_SIFT		0.005021	0	0.000666	0.000665	0.001331	0.002159	325	1.01061e+19	1042	37.38317757009346	82.0	148.0	2.0	72.5609756097561	33.63068837350653	72.5609756097561	172	299
eCos_redboot	FORCE	CUDD_REORDER_SIFT		0.002932	0	0.000229	0.000228	0.000457	0.000319	72	4.86389e+17	969	11.11111111111111	63.0	67.0	2.0	55.55555555555556	62.853936105470886	55.55555555555556	64	69
eCos_services	FORCE	CUDD_REORDER_SIFT		0.002457	0	0.000337	0.000336	0.000673	0.000863	133	5.54232e+11	353	41.81818181818181	53.0	77.0	2.0	71.69811320754717	40.02491214263477	71.69811320754717	97	129
LinuxKernel_arch	FORCE	CUDD_REORDER_SIFT		0.005835	0	0.000247	0.000246	0.000493	0.000535	94	3.4316e+32	3429	26.01626016260163	121.0	144.0	2.0	63.22314049586777	52.01033349223366	63.22314049586777	78	93
LinuxKernel_block	FORCE	CUDD_REORDER_SIFT		0.002533	0	0.000233	0.000232	0.000465	0.000565	93	1.22647e+15	490	42.62295081967213	60.0	84.0	2.0	71.66666666666667	40.069384267237695	71.66666666666667	49	87
LinuxKernel_crypto	FORCE	CUDD_REORDER_SIFT		0.616721	0	0.005337	0.005337	0.010674	0.01462	2512	5.12222e+66	22733	86.19402985074626	268.0	493.0	2.0	93.09701492537313	9.76229511339637	93.09701492537313	2504	2532
LinuxKernel_fs	FORCE	CUDD_REORDER_SIFT		1.88664	0	0.014035	0.014035	0.02807	0.036949	3900	3.27212e+82	29616	59.59302325581395	339.0	541.0	2.0	80.23598820058997	27.950533533627546	80.23598820058997	3501	6396
