file	order	reorder	algo_time	bdd_time	reorder_time	and_time	reach_one	reach_one_total	reach_one_decomposed	sum_nodes	minterms	span	ecr	inputs	clauses	functions	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	maxnode	total
Dell_XML	FORCE	CUDD_REORDER_SIFT		6.51733	0.529678	0.006116	0.006115	0.012231	0.057112	10780	1.12867e+06	58987	88.54961832061069	118.0	1778.0	2.0	99.15254237288136	1.1984860698077069	99.15254237288136	9775	3186
eCos_compat	FORCE	CUDD_REORDER_SIFT		0.000821	0.003948	0.000117	0.000117	0.000234	0.000226	34	7.88954e+06	103	21.428571428571427	28.0	32.0	2.0	60.714285714285715	55.55838995037159	60.714285714285715	27	30
eCos_fs	FORCE	CUDD_REORDER_SIFT		0.000691	0.003821	9.3e-05	9.3e-05	0.000186	0.000149	27	49725	61	4.3478260869565215	22.0	24.0	2.0	52.27272727272727	67.49655638598863	52.27272727272727	25	26
eCos_infra	FORCE	CUDD_REORDER_SIFT		0.001178	0.003684	0.00012	0.00012	0.00024	0.000231	33	9.43718e+06	177	18.51851851851852	27.0	31.0	2.0	59.25925925925926	57.61610809668165	59.25925925925926	27	29
eCos_io	FORCE	CUDD_REORDER_SIFT		0.005781	0.017654	0.000575	0.000574	0.001149	0.001818	250	1.85602e+32	991	29.230769230769234	130.0	156.0	2.0	64.61538461538461	50.04140297627875	64.61538461538461	196	249
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT		0.006366	0.01382	0.000353	0.000353	0.000706	0.000558	161	7.13624e+45	6009	1.935483870967742	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	157	159
eCos_kernel	FORCE	CUDD_REORDER_SIFT		0.003037	0.005011	0.000249	0.000247	0.000496	0.000588	81	9.40598e+14	857	35.08771929824561	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	57	79
eCos_language	FORCE	CUDD_REORDER_SIFT		0.003984	0.00959	0.000516	0.000516	0.001032	0.001523	224	3.41562e+19	629	36.144578313253014	82.0	107.0	2.0	68.29268292682927	44.84091783134204	68.29268292682927	175	239
eCos_net	FORCE	CUDD_REORDER_SIFT		0.005005	0.008757	0.000356	0.000355	0.000711	0.001153	205	1.01061e+19	1042	37.38317757009346	82.0	148.0	2.0	72.5609756097561	33.63068837350653	72.5609756097561	103	152
eCos_redboot	FORCE	CUDD_REORDER_SIFT		0.003066	0.004658	0.000232	0.000232	0.000464	0.000534	71	4.86389e+17	969	11.11111111111111	63.0	67.0	2.0	55.55555555555556	62.853936105470886	55.55555555555556	63	68
eCos_services	FORCE	CUDD_REORDER_SIFT		0.002525	0.005299	0.000289	0.000289	0.000578	0.000772	121	5.54232e+11	353	41.81818181818181	53.0	77.0	2.0	71.69811320754717	40.02491214263477	71.69811320754717	92	117
LinuxKernel_arch	FORCE	CUDD_REORDER_SIFT		0.005727	0.003145	0.00017	0.000169	0.000339	0.000337	58	3.4316e+32	3429	26.01626016260163	121.0	144.0	2.0	63.22314049586777	52.01033349223366	63.22314049586777	41	57
LinuxKernel_block	FORCE	CUDD_REORDER_SIFT		0.002638	0.004659	0.000206	0.000206	0.000412	0.000472	75	1.22647e+15	490	42.62295081967213	60.0	84.0	2.0	71.66666666666667	40.069384267237695	71.66666666666667	46	72
LinuxKernel_crypto	FORCE	CUDD_REORDER_SIFT		0.094332	0.193531	0.004197	0.004196	0.008393	0.008349	2031	5.12222e+66	22733	86.19402985074626	268.0	493.0	2.0	93.09701492537313	9.76229511339637	93.09701492537313	2023	2029
LinuxKernel_fs	FORCE	CUDD_REORDER_SIFT		5.0684	4.33022	0.010036	0.010036	0.020072	0.026617	2564	3.27212e+82	29616	59.59302325581395	339.0	541.0	2.0	80.23598820058997	27.950533533627546	80.23598820058997	2133	4538
LinuxKernel_lib	FORCE	CUDD_REORDER_SIFT		0.00538	0.01111	0.00039	0.000389	0.000779	0.000801	171	5.49936e+32	3826	27.86885245901639	121.0	146.0	2.0	64.0495867768595	50.84156195308234	64.0495867768595	128	177
