file	order	reeorder	ecr	code	dead	size_f0	size_f1	f0_time	f1_time	dead_core_f0	dead_core_f1	total
eCos_compat	FORCE	CUDD_REORDER_SIFT	21.428571428571427	1	1	28	7	0.00063	0.000143	6.6e-05	3.1e-05	0.00072
eCos_fs	FORCE	CUDD_REORDER_SIFT	4.3478260869565215	1	1	25	2	0.00051	8.3e-05	5.6e-05	2.5e-05	0.000631
eCos_infra	FORCE	CUDD_REORDER_SIFT	18.51851851851852	1	1	27	7	0.000542	0.000129	6.7e-05	3e-05	0.000692
eCos_io	FORCE	CUDD_REORDER_SIFT	29.230769230769234	1	1	174	43	0.015694	0.001926	0.000219	8e-05	0.016046
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT	1.935483870967742	1	0	156	5	0.01588	0.000808	0.000289	3.1e-05	0.016731
eCos_kernel	FORCE	CUDD_REORDER_SIFT	35.08771929824561	1	1	57	24	0.002076	0.000586	0.00012	5.7e-05	0.002401
eCos_language	FORCE	CUDD_REORDER_SIFT	36.144578313253014	1	1	163	44	0.007129	0.001112	0.000212	8.3e-05	0.007442
eCos_net	FORCE	CUDD_REORDER_SIFT	37.38317757009346	1	1	102	95	0.005705	0.001959	0.000147	0.000146	0.005967
eCos_redboot	FORCE	CUDD_REORDER_SIFT	11.11111111111111	1	1	63	8	0.002579	0.000291	0.000128	3.2e-05	0.002668
eCos_services	FORCE	CUDD_REORDER_SIFT	41.81818181818181	1	1	62	27	0.002559	0.000659	0.0001	6e-05	0.002712
LinuxKernel_arch	FORCE	CUDD_REORDER_SIFT	26.01626016260163	1	0	17	42	0.001972	0.001541	4.8e-05	8.2e-05	0.002313
LinuxKernel_block	FORCE	CUDD_REORDER_SIFT	42.62295081967213	1	0	46	29	0.001738	0.000808	7.6e-05	6.7e-05	0.001826
LinuxKernel_crypto	FORCE	CUDD_REORDER_SIFT	86.19402985074626	1	0	8	2280	0.007575	0.197329	4.1e-05	0.002729	0.207735
LinuxKernel_fs	FORCE	CUDD_REORDER_SIFT	59.59302325581395	1	0	421	2117	0.084192	6.07452	0.000481	0.002801	6.15442
LinuxKernel_lib	FORCE	CUDD_REORDER_SIFT	27.86885245901639	1	0	125	40	0.008688	0.001606	0.000158	7.7e-05	0.0089
LinuxKernel_mm	FORCE	CUDD_REORDER_SIFT	37.5	1	0	10	37	0.00079	0.000876	3.7e-05	7.4e-05	0.003799
LinuxKernel_security	FORCE	CUDD_REORDER_SIFT	59.210526315789465	1	0	93	154	0.004294	0.002825	0.000129	0.000217	0.004491
BankingSoftware	FORCE	CUDD_REORDER_SIFT	2.604166666666667	17	0	214	7	0.024565	0.000993	0.000292	3.2e-05	0.025206
HIS	FORCE	CUDD_REORDER_SIFT	10.95890410958904	37	0	83	9	0.005091	0.000314	0.000118	3.4e-05	0.005249
Documentation_Generation	FORCE	CUDD_REORDER_SIFT	24.528301886792452	8	0	56	14	0.002343	0.00033	0.000103	4.5e-05	0.002495
Graph	FORCE	CUDD_REORDER_SIFT	21.21212121212121	11	0	39	12	0.001165	0.000171	7e-05	3.8e-05	0.001355
Web_Portal	FORCE	CUDD_REORDER_SIFT	22.448979591836736	4	0	70	12	0.002275	0.000264	0.000113	4e-05	0.002441
Electronic Shopping	FORCE	CUDD_REORDER_SIFT	10.303030303030303	30	0	817	40	0.150301	0.00355	0.001052	8.1e-05	0.152309
Dell_XML	FORCE	CUDD_REORDER_SIFT	88.54961832061069	1	0	261	7543	0.023344	6.92153	0.000375	0.009631	7.00385
eCos_compat	FORCE	CUDD_REORDER_SIFT	21.428571428571427	1	1	28	7	0.000644	0.000141	6.4e-05	3.1e-05	0.000698
eCos_fs	FORCE	CUDD_REORDER_SIFT	4.3478260869565215	1	1	25	2	0.000522	8.5e-05	5.6e-05	2.4e-05	0.000473
eCos_infra	FORCE	CUDD_REORDER_SIFT	18.51851851851852	1	1	27	7	0.000541	0.000125	6.8e-05	3e-05	0.000517
eCos_io	FORCE	CUDD_REORDER_SIFT	29.230769230769234	1	1	174	43	0.015617	0.001945	0.000217	8.2e-05	0.015733
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT	1.935483870967742	1	0	156	5	0.015716	0.000806	0.000288	3e-05	0.016621
eCos_kernel	FORCE	CUDD_REORDER_SIFT	35.08771929824561	1	1	57	24	0.002197	0.000585	0.000118	5.4e-05	0.002386
eCos_language	FORCE	CUDD_REORDER_SIFT	36.144578313253014	1	1	163	44	0.007151	0.001109	0.000212	8.3e-05	0.007464
eCos_net	FORCE	CUDD_REORDER_SIFT	37.38317757009346	1	1	102	95	0.005705	0.001947	0.000147	0.000144	0.005868
eCos_redboot	FORCE	CUDD_REORDER_SIFT	11.11111111111111	1	1	63	8	0.002591	0.000299	0.000126	3.5e-05	0.002794
eCos_services	FORCE	CUDD_REORDER_SIFT	41.81818181818181	1	1	62	27	0.002572	0.00067	0.0001	6.3e-05	0.002722
LinuxKernel_arch	FORCE	CUDD_REORDER_SIFT	26.01626016260163	1	0	17	42	0.001908	0.001549	4.9e-05	8.2e-05	0.00218
LinuxKernel_block	FORCE	CUDD_REORDER_SIFT	42.62295081967213	1	0	46	29	0.001741	0.000811	7.6e-05	6.8e-05	0.001729
LinuxKernel_crypto	FORCE	CUDD_REORDER_SIFT	86.19402985074626	1	0	8	2280	0.00751	0.197986	4.2e-05	0.002749	0.205799
LinuxKernel_fs	FORCE	CUDD_REORDER_SIFT	59.59302325581395	1	0	421	2117	0.083693	6.34597	0.000481	0.00284	6.43789
LinuxKernel_lib	FORCE	CUDD_REORDER_SIFT	27.86885245901639	1	0	125	40	0.008738	0.001632	0.00016	7.6e-05	0.008835
LinuxKernel_mm	FORCE	CUDD_REORDER_SIFT	37.5	1	0	10	37	0.00078	0.000882	3.8e-05	7.6e-05	0.001029
LinuxKernel_security	FORCE	CUDD_REORDER_SIFT	59.210526315789465	1	0	93	154	0.00432	0.002856	0.00013	0.000225	0.004557
BankingSoftware	FORCE	CUDD_REORDER_SIFT	2.604166666666667	17	0	214	7	0.025197	0.001002	0.000308	3.4e-05	0.025679
HIS	FORCE	CUDD_REORDER_SIFT	10.95890410958904	37	0	83	9	0.005243	0.000323	0.000117	3.5e-05	0.005458
Documentation_Generation	FORCE	CUDD_REORDER_SIFT	24.528301886792452	8	0	56	14	0.002374	0.000347	0.000104	4.5e-05	0.002512
Graph	FORCE	CUDD_REORDER_SIFT	21.21212121212121	11	0	39	12	0.001177	0.000174	7.1e-05	3.9e-05	0.00123
Web_Portal	FORCE	CUDD_REORDER_SIFT	22.448979591836736	4	0	70	12	0.002408	0.000283	0.000116	4.3e-05	0.002427
Electronic Shopping	FORCE	CUDD_REORDER_SIFT	10.303030303030303	30	0	817	40	0.150498	0.003604	0.001377	8.6e-05	0.151709
Dell_XML	FORCE	CUDD_REORDER_SIFT	88.54961832061069	1	0	261	7543	0.023255	6.92478	0.00038	0.009411	7.00241
eCos_compat	FORCE	CUDD_REORDER_SIFT	21.428571428571427	1	1	28	7	0.000646	0.00014	6.3e-05	3.1e-05	0.000648
eCos_fs	FORCE	CUDD_REORDER_SIFT	4.3478260869565215	1	1	25	2	0.000519	8.4e-05	5.6e-05	2.5e-05	0.000477
eCos_infra	FORCE	CUDD_REORDER_SIFT	18.51851851851852	1	1	27	7	0.000531	0.000125	6.7e-05	3e-05	0.000638
eCos_io	FORCE	CUDD_REORDER_SIFT	29.230769230769234	1	1	174	43	0.015718	0.001956	0.000222	8.4e-05	0.015429
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT	1.935483870967742	1	0	156	5	0.016073	0.000805	0.00029	2.9e-05	0.016996
eCos_kernel	FORCE	CUDD_REORDER_SIFT	35.08771929824561	1	1	57	24	0.002145	0.000582	0.000118	5.6e-05	0.002185
